fund,date,gross_return,net_return
Combined Minimum Variance,2023-04-20,-0.00024838709737910454,-0.00024838709737906584
Combined Minimum Variance,2023-04-21,0.005861886910622245,0.005861886910622172
Combined Minimum Variance,2023-04-24,0.004409855449402376,0.004409855449402311
Combined Minimum Variance,2023-04-25,-0.002957393732745681,-0.002957393732745728
Combined Minimum Variance,2023-04-26,-0.01765667505149138,-0.017656675051491377
Combined Minimum Variance,2023-04-27,-0.0004137774222879138,-0.0004137774222878754
Combined Minimum Variance,2023-04-28,0.0008144457766531136,0.0008144457766530167
Combined Minimum Variance,2023-05-01,0.0015048364307712894,0.0015005516683130882
Combined Minimum Variance,2023-05-02,-0.005523436876916506,-0.0055234368769164766
Combined Minimum Variance,2023-05-03,-0.006885296907365264,-0.006885296907365279
Combined Minimum Variance,2023-05-04,-0.000578691433276484,-0.0005786914332764903
Combined Minimum Variance,2023-05-05,0.008239233276590612,0.008239233276590596
Combined Minimum Variance,2023-05-08,-0.000881677910929677,-0.0008816779109296347
Combined Minimum Variance,2023-05-09,-0.0031745683979753064,-0.0031745683979752526
Combined Minimum Variance,2023-05-10,-0.0022056128513789695,-0.0022056128513789908
Combined Minimum Variance,2023-05-11,-0.001923992639920277,-0.001923992639920269
Combined Minimum Variance,2023-05-12,-0.00034293090452631417,-0.00034293090452630626
Combined Minimum Variance,2023-05-15,-0.00151273298474147,-0.0015127329847414162
Combined Minimum Variance,2023-05-16,-0.013396500379022094,-0.01339650037902207
Combined Minimum Variance,2023-05-17,-8.698172925230814e-05,-8.698172925225567e-05
Combined Minimum Variance,2023-05-18,0.0025976193071261264,0.002597619307126209
Combined Minimum Variance,2023-05-19,0.0010157762831383723,0.0010157762831384254
Combined Minimum Variance,2023-05-22,-0.004419246883993795,-0.004419246883993755
Combined Minimum Variance,2023-05-23,-0.00617199957150774,-0.006171999571507714
Combined Minimum Variance,2023-05-24,-0.006406747677160968,-0.006406747677160984
Combined Minimum Variance,2023-05-25,-0.011029116239493177,-0.011029116239493209
Combined Minimum Variance,2023-05-26,-4.671145054773173e-05,-4.671145054768733e-05
Combined Minimum Variance,2023-05-30,-0.0062317507578235785,-0.006231750757823562
Combined Minimum Variance,2023-05-31,0.0038566505351302414,0.0038566505351302904
Combined Minimum Variance,2023-06-01,0.0013158052753890026,0.0013102699284586183
Combined Minimum Variance,2023-06-02,0.016079399630952437,0.016079399630952507
Combined Minimum Variance,2023-06-05,-0.0037033489207990203,-0.0037033489207990433
Combined Minimum Variance,2023-06-06,-0.007549780864051559,-0.0075497808640515585
Combined Minimum Variance,2023-06-07,0.002393635664160696,0.0023936356641607315
Combined Minimum Variance,2023-06-08,0.0100991122106025,0.010099112210602446
Combined Minimum Variance,2023-06-09,-0.0014214136016042509,-0.0014214136016043044
Combined Minimum Variance,2023-06-12,0.0017089148864929075,0.0017089148864928294
Combined Minimum Variance,2023-06-13,0.0065342532819941245,0.006534253281994085
Combined Minimum Variance,2023-06-14,-0.00010369430595031063,-0.00010369430595036366
Combined Minimum Variance,2023-06-15,0.008842363738271013,0.008842363738271075
Combined Minimum Variance,2023-06-16,0.002493586074423195,0.002493586074423293
Combined Minimum Variance,2023-06-20,-0.008865358110779523,-0.008865358110779487
Combined Minimum Variance,2023-06-21,-0.0019275457986179258,-0.00192754579861798
Combined Minimum Variance,2023-06-22,0.004702371340189492,0.004702371340189471
Combined Minimum Variance,2023-06-23,-0.003687846561049299,-0.0036878465610492572
Combined Minimum Variance,2023-06-26,0.0008074369847076109,0.0008074369847075324
Combined Minimum Variance,2023-06-27,-0.0003292218475359183,-0.000329221847535921
Combined Minimum Variance,2023-06-28,-0.0035126547387102688,-0.003512654738710319
Combined Minimum Variance,2023-06-29,0.0013365311567911967,0.0013365311567912208
Combined Minimum Variance,2023-06-30,0.011310939435625214,0.011310939435625222
Combined Minimum Variance,2023-07-03,0.003599317199632406,0.00359260797504235
Combined Minimum Variance,2023-07-05,-0.0020604158297505767,-0.0020604158297505837
Combined Minimum Variance,2023-07-06,-0.00855776579516034,-0.008557765795160321
Combined Minimum Variance,2023-07-07,-0.012734045765373118,-0.01273404576537307
Combined Minimum Variance,2023-07-10,0.005367571083870577,0.005367571083870537
Combined Minimum Variance,2023-07-11,0.011887899438127288,0.011887899438127292
Combined Minimum Variance,2023-07-12,0.0015255187753283454,0.0015255187753282495
Combined Minimum Variance,2023-07-13,0.0012086817955738768,0.0012086817955738738
Combined Minimum Variance,2023-07-14,0.004359047864264137,0.0043590478642641095
